gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	WT_1_log2CPM	WT_2_log2CPM	WT_3_log2CPM	KO_1_log2CPM	KO_2_log2CPM	KO_3_log2CPM
D17H6S56E-5	-3.083	9.3418	-97.669	2.28E-15	3.60E-11	25.102	10.888	10.912	10.85	7.7671	7.8119	7.8218
Scd1	-2.2133	6.106	-50.068	1.15E-12	9.10E-09	19.799	7.2574	7.1911	7.192	5.0828	4.9264	4.9864
Coro2a	-1.4558	7.9154	-46.998	2.07E-12	1.09E-08	19.285	8.6433	8.6614	8.6256	7.1924	7.2202	7.1495
Plxnb2	-2.9373	3.6346	-42.033	5.85E-12	1.60E-08	17.639	5.0743	5.1443	5.1107	2.2122	2.2622	2.004
Gzmb	-1.8469	4.9198	-41.606	6.44E-12	1.60E-08	18.097	5.7934	5.8635	5.8686	3.9655	3.961	4.0665
Hmga2	1.945	4.453	40.784	7.75E-12	1.60E-08	17.849	3.5635	3.4121	3.4601	5.4305	5.4347	5.4168
Galnt6	-1.1927	7.0914	-40.73	7.84E-12	1.60E-08	17.969	7.6599	7.6968	7.7069	6.4985	6.4985	6.4877
Hlf	2.3856	5.316	40.305	8.65E-12	1.60E-08	17.834	4.2259	3.9706	4.1813	6.477	6.5279	6.5133
Hsh2d	-1.9593	3.7267	-40.081	9.11E-12	1.60E-08	17.509	4.7001	4.6963	4.719	2.7124	2.7465	2.7862
Arhgap32	3.7074	2.6234	36.826	2.00E-11	3.16E-08	15.593	0.81606	0.60946	0.92464	4.4949	4.4833	4.4117
Csgalnact1	2.4311	2.8523	34.008	4.18E-11	5.97E-08	15.728	1.6877	1.6122	1.5938	4.0375	4.0621	4.1204
Chdh	-1.7196	4.675	-33.712	4.53E-11	5.97E-08	16.209	5.5709	5.5205	5.5237	3.8734	3.8689	3.6923
Il10ra	-2.2	4.2596	-33.395	4.95E-11	6.01E-08	16.085	5.3086	5.4546	5.3019	3.1621	3.0803	3.25
Ahnak	-1.6859	5.0726	-31.856	7.66E-11	8.04E-08	15.692	6.017	5.8743	5.8469	4.2083	4.2423	4.247
Ckap4	-1.3321	4.102	-31.804	7.78E-11	8.04E-08	15.66	4.7675	4.7516	4.7878	3.444	3.4168	3.4443
Gatm	-4.0438	2.3717	-31.36	8.86E-11	8.04E-08	14.18	4.414	4.4055	4.4082	0.68151	0.15185	0.16918
Usp11	1.7894	3.3859	31.355	8.87E-11	8.04E-08	15.412	2.4129	2.5268	2.551	4.2777	4.2904	4.2566
Itgal	0.93076	7.5686	31.161	9.39E-11	8.04E-08	15.425	7.124	7.0662	7.1198	8.0386	8.0344	8.0283
Cd34	0.89129	8.4632	30.913	1.01E-10	8.04E-08	15.344	8.0411	8.0127	7.9989	8.8904	8.9173	8.9189
Slc25a13	1.3143	4.912	30.893	1.02E-10	8.04E-08	15.407	4.3266	4.2457	4.1779	5.5802	5.5801	5.5613
Tgm2	1.6188	4.9883	30.347	1.20E-10	8.57E-08	15.24	4.1168	4.2236	4.2009	5.8468	5.7036	5.838
Cercam	-1.4986	3.7436	-30.312	1.21E-10	8.57E-08	15.198	4.4922	4.4841	4.5103	2.9894	3.0537	2.932
Spp1	-1.2069	8.7325	-30.222	1.25E-10	8.57E-08	15.125	9.304	9.4172	9.2867	8.0922	8.1526	8.1424
Gcnt2	1.1361	6.1487	29.946	1.36E-10	8.94E-08	15.07	5.6331	5.5832	5.5191	6.7	6.7579	6.6986
Galnt4	-1.6483	3.5712	-29.74	1.45E-10	9.14E-08	15.004	4.4235	4.4226	4.3315	2.7931	2.7073	2.749
Slc16a3	-2.6031	3.1619	-29.342	1.64E-10	9.96E-08	14.718	4.436	4.5365	4.4278	2.0399	1.6974	1.8338
Ptgs1	1.0693	6.1229	28.626	2.06E-10	1.20E-07	14.637	5.57	5.541	5.6607	6.6337	6.6565	6.6756
Slc2a3	-1.3069	6.3842	-28.489	2.15E-10	1.21E-07	14.582	7.0258	7.1129	6.9711	5.765	5.6614	5.7688
Zmat3	1.124	5.4398	26.97	3.57E-10	1.94E-07	14.094	4.9218	4.8226	4.8892	5.9517	6.0472	6.0064
Tmem215	-1.1744	4.0827	-26.672	3.95E-10	2.08E-07	14.054	4.6333	4.7008	4.6786	3.5115	3.4779	3.4942
Scpep1	-1.1339	4.809	-26.333	4.45E-10	2.24E-07	13.901	5.3581	5.4309	5.3393	4.2644	4.2723	4.1889
Ppic	1.3135	3.8889	26.279	4.54E-10	2.24E-07	13.919	3.2397	3.1697	3.3053	4.5527	4.5631	4.5028
Rasa4	-1.1585	4.4978	-25.688	5.59E-10	2.64E-07	13.685	5.0326	5.0662	5.1449	3.926	3.9394	3.8775
Lgmn	-2.1993	2.722	-25.642	5.69E-10	2.64E-07	13.52	3.7782	3.8844	3.8023	1.7282	1.4621	1.6771
Il1f9	-1.4537	3.4592	-25.388	6.23E-10	2.81E-07	13.594	4.1464	4.2227	4.1813	2.6576	2.7847	2.7626
Bcl11a	-0.93627	4.5015	-25.001	7.18E-10	3.15E-07	13.425	4.9818	4.9495	4.9793	4.0336	4.0375	4.0275
Sirpa	-0.81603	6.4301	-24.716	7.98E-10	3.41E-07	13.195	6.8313	6.8839	6.7974	6.0199	6.0271	6.021
Dapk1	1.4426	3.9798	24.443	8.84E-10	3.63E-07	13.247	3.3687	3.2661	3.1076	4.7351	4.7119	4.6892
Ash2l	0.73803	7.76	24.407	8.96E-10	3.63E-07	13.043	7.387	7.402	7.3838	8.0999	8.1664	8.1209
Ncs1	-1.7267	3.7946	-24.308	9.30E-10	3.67E-07	13.202	4.6503	4.6632	4.681	3.1074	2.7954	2.8704
Meis1	1.024	4.6096	24.163	9.83E-10	3.79E-07	13.094	4.1393	4.0629	4.0875	5.0899	5.1671	5.1108
Stat4	-0.97829	4.9115	-24.032	1.03E-09	3.89E-07	13.016	5.4314	5.4178	5.3459	4.4458	4.3803	4.448
P2rx7	-1.3798	3.5272	-23.925	1.08E-09	3.91E-07	13.057	4.1859	4.276	4.1928	2.8453	2.9009	2.7626
Slc43a1	-4.9327	0.85504	-23.895	1.09E-09	3.91E-07	9.8144	3.2872	3.3581	3.2808	-1.7121	-1.6681	-1.4158
Gp49a	-1.4883	2.8992	-23.798	1.13E-09	3.92E-07	12.97	3.6119	3.6883	3.6293	2.1843	2.1202	2.1615
Mmp8	-1.1212	5.1772	-23.771	1.14E-09	3.92E-07	12.892	5.78	5.7625	5.6583	4.5499	4.6564	4.6558
Tarm1	-0.92596	4.44	-23.647	1.20E-09	3.97E-07	12.898	4.9192	4.9125	4.8699	3.9593	3.9787	4.0005
Slc35f2	-3.6282	1.3908	-23.631	1.21E-09	3.97E-07	11.581	3.2513	3.247	3.1076	-0.46	-0.20596	-0.59533
Cp	-1.7915	2.3697	-23.46	1.29E-09	4.16E-07	12.719	3.308	3.2312	3.2622	1.5372	1.428	1.4517
Fam73a	-1.0126	5.1673	-23.101	1.49E-09	4.70E-07	12.614	5.7464	5.667	5.5997	4.663	4.6638	4.664
Ak4	-1.4966	5.544	-22.925	1.59E-09	4.94E-07	12.519	6.2736	6.3749	6.2157	4.7963	4.6652	4.9384
Morc3	0.79971	7.8666	22.837	1.65E-09	5.02E-07	12.389	7.5166	7.4329	7.4502	8.2269	8.3036	8.2691
Cecr5	1.0072	5.0751	22.75	1.71E-09	5.04E-07	12.475	4.4845	4.6381	4.5969	5.5722	5.5758	5.583
Ephb2	-1.7756	2.3897	-22.733	1.72E-09	5.04E-07	12.464	3.2464	3.2781	3.3352	1.5807	1.4887	1.409
Xrcc5	-1.5053	3.6719	-22.596	1.82E-09	5.23E-07	12.528	4.4243	4.5207	4.3151	2.9691	2.9009	2.9015
Ms4a4c	-0.82261	5.502	-22.466	1.92E-09	5.37E-07	12.315	5.9565	5.9159	5.8619	5.0894	5.0756	5.1128
Ffar2	-0.93289	5.0066	-22.444	1.94E-09	5.37E-07	12.347	5.4201	5.485	5.5145	4.5069	4.5226	4.5904
Celsr1	-1.8881	4.6073	-22.356	2.01E-09	5.44E-07	12.369	5.661	5.3708	5.6302	3.6709	3.6546	3.6563
Rbpms2	0.93982	4.2048	22.319	2.04E-09	5.44E-07	12.368	3.7609	3.6883	3.7588	4.6598	4.679	4.682
Cul7	-1.2471	4.2882	-22.286	2.07E-09	5.44E-07	12.352	4.885	4.8488	5.0223	3.6759	3.6895	3.608
Tgfbi	-0.71099	7.0513	-22.112	2.22E-09	5.75E-07	12.083	7.3766	7.4533	7.3904	6.7112	6.6944	6.6817
Dach1	-1.3975	3.8649	-21.942	2.38E-09	5.98E-07	12.241	4.6714	4.5105	4.4957	3.1852	3.1382	3.1882
Gm11428	-1.1963	3.8368	-21.939	2.39E-09	5.98E-07	12.238	4.4177	4.5018	4.3697	3.1905	3.2766	3.2645
Marveld1	-0.80613	4.7437	-21.784	2.55E-09	6.29E-07	12.081	5.1306	5.1363	5.1751	4.3127	4.3552	4.3521
Gpr132	-1.4149	3.1781	-21.57	2.79E-09	6.71E-07	12.109	3.8948	3.8548	3.8897	2.3968	2.4159	2.6165
Cd28	-1.8529	1.8743	-21.555	2.80E-09	6.71E-07	11.855	2.7924	2.8158	2.7948	0.92021	1.0164	0.90615
Chi3l3	-0.75813	5.6996	-21.47	2.91E-09	6.86E-07	11.857	6.0568	6.1229	6.053	5.3121	5.301	5.3518
Stc2	-0.9316	5.1487	-21.39	3.01E-09	6.97E-07	11.867	5.5463	5.6725	5.6272	4.709	4.6491	4.6883
4833407H14Rik	-2.237	1.4809	-21.344	3.07E-09	6.97E-07	11.51	2.58	2.6404	2.5814	0.35833	0.43832	0.28702
Nfix	-1.4142	4.6108	-21.331	3.09E-09	6.97E-07	11.905	5.3836	5.191	5.3923	3.9716	3.8471	3.879
St6gal1	-3.4431	1.817	-21.283	3.15E-09	7.01E-07	11.397	3.6145	3.625	3.3704	0.20007	0.21707	-0.12488
Ms4a6d	-0.9972	4.2076	-21.208	3.26E-09	7.14E-07	11.88	4.7536	4.7141	4.6359	3.6809	3.725	3.7361
